threshold_RMS,family,first_N,count,fraction
0.005,RP,1,26,0.09420289855072464
0.005,RP,2,7,0.025362318840579712
0.005,RP,3,15,0.05434782608695652
0.005,RP,4,17,0.06159420289855073
0.005,RP,5,14,0.050724637681159424
0.005,RP,not_reached,197,0.7137681159420289
0.005,CP_folded,1,39,0.14130434782608695
0.005,CP_folded,2,29,0.10507246376811594
0.005,CP_folded,3,46,0.16666666666666666
0.005,CP_folded,4,44,0.15942028985507245
0.005,CP_folded,5,16,0.057971014492753624
0.005,CP_folded,not_reached,102,0.3695652173913043
0.005,Selected_RP_or_CP,1,39,0.14130434782608695
0.005,Selected_RP_or_CP,2,29,0.10507246376811594
0.005,Selected_RP_or_CP,3,46,0.16666666666666666
0.005,Selected_RP_or_CP,4,45,0.16304347826086957
0.005,Selected_RP_or_CP,5,17,0.06159420289855073
0.005,Selected_RP_or_CP,not_reached,100,0.36231884057971014
0.01,RP,1,31,0.11231884057971014
0.01,RP,2,14,0.050724637681159424
0.01,RP,3,21,0.07608695652173914
0.01,RP,4,26,0.09420289855072464
0.01,RP,5,17,0.06159420289855073
0.01,RP,not_reached,167,0.605072463768116
0.01,CP_folded,1,47,0.17028985507246377
0.01,CP_folded,2,48,0.17391304347826086
0.01,CP_folded,3,53,0.19202898550724637
0.01,CP_folded,4,34,0.12318840579710146
0.01,CP_folded,5,17,0.06159420289855073
0.01,CP_folded,not_reached,77,0.27898550724637683
0.01,Selected_RP_or_CP,1,47,0.17028985507246377
0.01,Selected_RP_or_CP,2,49,0.17753623188405798
0.01,Selected_RP_or_CP,3,52,0.18840579710144928
0.01,Selected_RP_or_CP,4,37,0.13405797101449277
0.01,Selected_RP_or_CP,5,16,0.057971014492753624
0.01,Selected_RP_or_CP,not_reached,75,0.2717391304347826
0.02,RP,1,34,0.12318840579710146
0.02,RP,2,24,0.08695652173913043
0.02,RP,3,24,0.08695652173913043
0.02,RP,4,24,0.08695652173913043
0.02,RP,5,20,0.07246376811594203
0.02,RP,not_reached,150,0.5434782608695652
0.02,CP_folded,1,50,0.18115942028985507
0.02,CP_folded,2,72,0.2608695652173913
0.02,CP_folded,3,55,0.19927536231884058
0.02,CP_folded,4,35,0.12681159420289856
0.02,CP_folded,5,14,0.050724637681159424
0.02,CP_folded,not_reached,50,0.18115942028985507
0.02,Selected_RP_or_CP,1,50,0.18115942028985507
0.02,Selected_RP_or_CP,2,78,0.2826086956521739
0.02,Selected_RP_or_CP,3,54,0.1956521739130435
0.02,Selected_RP_or_CP,4,34,0.12318840579710146
0.02,Selected_RP_or_CP,5,12,0.043478260869565216
0.02,Selected_RP_or_CP,not_reached,48,0.17391304347826086
0.05,RP,1,37,0.13405797101449277
0.05,RP,2,29,0.10507246376811594
0.05,RP,3,27,0.09782608695652174
0.05,RP,4,34,0.12318840579710146
0.05,RP,5,27,0.09782608695652174
0.05,RP,not_reached,122,0.4420289855072464
0.05,CP_folded,1,66,0.2391304347826087
0.05,CP_folded,2,124,0.4492753623188406
0.05,CP_folded,3,36,0.13043478260869565
0.05,CP_folded,4,17,0.06159420289855073
0.05,CP_folded,5,12,0.043478260869565216
0.05,CP_folded,not_reached,21,0.07608695652173914
0.05,Selected_RP_or_CP,1,66,0.2391304347826087
0.05,Selected_RP_or_CP,2,125,0.4528985507246377
0.05,Selected_RP_or_CP,3,36,0.13043478260869565
0.05,Selected_RP_or_CP,4,19,0.06884057971014493
0.05,Selected_RP_or_CP,5,13,0.04710144927536232
0.05,Selected_RP_or_CP,not_reached,17,0.06159420289855073
