material_class,final_family,records,median_final_RMS,frac_primary_target,frac_secondary_target
TCO_or_semiconducting_oxide,CP,2,0.0234345110170734,0.5,0.5
carbon,CP,19,0.0027421123884377,0.8947368421052632,0.9473684210526315
carbon,RP,1,0.0010678661393963,1.0,1.0
carbon,none,1,,0.0,0.0
chalcogenide_or_2D,CP,36,0.01051655535204145,0.3055555555555556,0.5
chalcogenide_or_2D,RP,6,0.03163521704918695,0.0,0.0
chalcogenide_or_2D,none,1,,0.0,0.0
fluoride,CP,3,0.0003795299870673,1.0,1.0
metal,CP,103,0.0041798738496418,0.5339805825242718,0.6601941747572816
nitride_or_carbide,CP,12,0.0016758257716832999,0.8333333333333334,0.8333333333333334
oxide,CP,52,0.00149073028777955,0.9807692307692307,1.0
semiconductor,CP,36,0.0040556025854765,0.6666666666666666,0.7222222222222222
semiconductor,RP,4,0.0030866014885574,0.75,1.0
