material_class,N,selected_family,count,median_selected_RMS,records_in_class_N,fraction_within_class_N
TCO_or_semiconducting_oxide,1,CP,1,0.0265049614545083,2,0.5
TCO_or_semiconducting_oxide,1,RP,1,0.0477904463027655,2,0.5
TCO_or_semiconducting_oxide,2,CP,1,0.0021932249462828,2,0.5
TCO_or_semiconducting_oxide,2,RP,1,0.0538236022915536,2,0.5
TCO_or_semiconducting_oxide,3,CP,2,0.0228897718941008,2,1.0
TCO_or_semiconducting_oxide,4,CP,1,0.0002512344427482,2,0.5
TCO_or_semiconducting_oxide,4,none,1,,2,0.5
TCO_or_semiconducting_oxide,5,CP,1,8.561017735094162e-05,2,0.5
TCO_or_semiconducting_oxide,5,none,1,,2,0.5
carbon,1,CP,20,0.10710483896135706,21,0.9523809523809523
carbon,1,none,1,,21,0.047619047619047616
carbon,2,CP,19,0.0074831412510513,21,0.9047619047619048
carbon,2,none,2,,21,0.09523809523809523
carbon,3,CP,16,0.00272510533360515,21,0.7619047619047619
carbon,3,none,5,,21,0.23809523809523808
carbon,4,CP,16,0.00170823480846235,21,0.7619047619047619
carbon,4,RP,1,0.0010678661393963,21,0.047619047619047616
carbon,4,none,4,,21,0.19047619047619047
carbon,5,CP,15,0.0012816037128121,21,0.7142857142857143
carbon,5,none,6,,21,0.2857142857142857
chalcogenide_or_2D,1,CP,39,0.1346950599001803,43,0.9069767441860465
chalcogenide_or_2D,1,none,4,,43,0.09302325581395349
chalcogenide_or_2D,2,CP,32,0.10553786021375919,43,0.7441860465116279
chalcogenide_or_2D,2,RP,1,0.1002727360196985,43,0.023255813953488372
chalcogenide_or_2D,2,none,10,,43,0.23255813953488372
chalcogenide_or_2D,3,CP,31,0.0513396366050497,43,0.7209302325581395
chalcogenide_or_2D,3,RP,5,0.0902638451250131,43,0.11627906976744186
chalcogenide_or_2D,3,none,7,,43,0.16279069767441862
chalcogenide_or_2D,4,CP,31,0.0286413970540419,43,0.7209302325581395
chalcogenide_or_2D,4,RP,4,0.04016185725174485,43,0.09302325581395349
chalcogenide_or_2D,4,none,8,,43,0.18604651162790697
chalcogenide_or_2D,5,CP,29,0.0123011906623464,43,0.6744186046511628
chalcogenide_or_2D,5,RP,4,0.0251448836951184,43,0.09302325581395349
chalcogenide_or_2D,5,none,10,,43,0.23255813953488372
fluoride,1,CP,3,0.0003795299870673,3,1.0
fluoride,2,CP,2,0.0010025382127668001,3,0.6666666666666666
fluoride,2,none,1,,3,0.3333333333333333
fluoride,3,CP,2,0.00100093727343725,3,0.6666666666666666
fluoride,3,RP,1,7.689481863580996e-07,3,0.3333333333333333
fluoride,4,CP,2,0.0009880595997562,3,0.6666666666666666
fluoride,4,none,1,,3,0.3333333333333333
fluoride,5,CP,2,0.0009601620112923501,3,0.6666666666666666
fluoride,5,none,1,,3,0.3333333333333333
high_k_oxide,1,CP,23,0.0020223375826169,23,1.0
high_k_oxide,2,CP,21,0.0008350454784054,23,0.9130434782608695
high_k_oxide,2,RP,2,0.0051712664307875505,23,0.08695652173913043
high_k_oxide,3,CP,21,0.0001838758934705,23,0.9130434782608695
high_k_oxide,3,RP,1,0.0020560607056716,23,0.043478260869565216
high_k_oxide,3,none,1,,23,0.043478260869565216
high_k_oxide,4,CP,17,6.819000235040188e-05,23,0.7391304347826086
high_k_oxide,4,RP,6,0.0003112057723332053,23,0.2608695652173913
high_k_oxide,5,CP,18,4.6108790156722794e-05,23,0.782608695652174
high_k_oxide,5,RP,3,3.797195905100083e-05,23,0.13043478260869565
high_k_oxide,5,none,2,,23,0.08695652173913043
lossy_transition_metal_oxide,1,CP,14,0.1113472397939739,14,1.0
lossy_transition_metal_oxide,2,CP,14,0.011049517450142501,14,1.0
lossy_transition_metal_oxide,3,CP,14,0.00511784409545605,14,1.0
lossy_transition_metal_oxide,4,CP,12,0.00258957098623835,14,0.8571428571428571
lossy_transition_metal_oxide,4,RP,2,0.00604656281335215,14,0.14285714285714285
lossy_transition_metal_oxide,5,CP,13,0.0004746727337455,14,0.9285714285714286
lossy_transition_metal_oxide,5,RP,1,0.000831032473156,14,0.07142857142857142
metal,1,CP,74,0.2723070739736279,103,0.7184466019417476
metal,1,none,29,,103,0.2815533980582524
metal,2,CP,92,0.039521239672032,103,0.8932038834951457
metal,2,none,11,,103,0.10679611650485436
metal,3,CP,97,0.0122018507003083,103,0.941747572815534
metal,3,none,6,,103,0.05825242718446602
metal,4,CP,98,0.00502669883060085,103,0.9514563106796117
metal,4,none,5,,103,0.04854368932038835
metal,5,CP,97,0.0032453661844008,103,0.941747572815534
metal,5,none,6,,103,0.05825242718446602
nitride_or_carbide,1,CP,11,0.1535212277635998,12,0.9166666666666666
nitride_or_carbide,1,none,1,,12,0.08333333333333333
nitride_or_carbide,2,CP,11,0.0080358095229893,12,0.9166666666666666
nitride_or_carbide,2,none,1,,12,0.08333333333333333
nitride_or_carbide,3,CP,10,0.0115161497061616,12,0.8333333333333334
nitride_or_carbide,3,RP,1,2.8986254346300534e-06,12,0.08333333333333333
nitride_or_carbide,3,none,1,,12,0.08333333333333333
nitride_or_carbide,4,CP,9,0.0007843268075071,12,0.75
nitride_or_carbide,4,RP,2,0.00769395857576535,12,0.16666666666666666
nitride_or_carbide,4,none,1,,12,0.08333333333333333
nitride_or_carbide,5,CP,10,0.0009794539602778,12,0.8333333333333334
nitride_or_carbide,5,RP,1,0.0006336236239704,12,0.08333333333333333
nitride_or_carbide,5,none,1,,12,0.08333333333333333
semiconductor,1,CP,29,0.1725666498220052,40,0.725
semiconductor,1,none,11,,40,0.275
semiconductor,2,CP,28,0.0268472530411265,40,0.7
semiconductor,2,RP,7,0.0166909603786944,40,0.175
semiconductor,2,none,5,,40,0.125
semiconductor,3,CP,28,0.0198226647127544,40,0.7
semiconductor,3,RP,4,0.0035649118016844,40,0.1
semiconductor,3,none,8,,40,0.2
semiconductor,4,CP,29,0.0051628002871461,40,0.725
semiconductor,4,RP,6,0.0052506000829182,40,0.15
semiconductor,4,none,5,,40,0.125
semiconductor,5,CP,31,0.0031200452188509,40,0.775
semiconductor,5,RP,7,0.0026588816742808,40,0.175
semiconductor,5,none,2,,40,0.05
transparent_dielectric_oxide,1,CP,14,0.00054294552926515,15,0.9333333333333333
transparent_dielectric_oxide,1,none,1,,15,0.06666666666666667
transparent_dielectric_oxide,2,CP,14,4.948723634340465e-05,15,0.9333333333333333
transparent_dielectric_oxide,2,RP,1,0.0010081414125615,15,0.06666666666666667
transparent_dielectric_oxide,3,CP,13,2.699889611280861e-05,15,0.8666666666666667
transparent_dielectric_oxide,3,RP,1,2.073367107307222e-06,15,0.06666666666666667
transparent_dielectric_oxide,3,none,1,,15,0.06666666666666667
transparent_dielectric_oxide,4,CP,12,2.0960657999172224e-05,15,0.8
transparent_dielectric_oxide,4,none,3,,15,0.2
transparent_dielectric_oxide,5,CP,13,2.402878207259225e-05,15,0.8666666666666667
transparent_dielectric_oxide,5,none,2,,15,0.13333333333333333
