threshold_RMS,N_max,family,records_reached,total_records,coverage_fraction
0.005,1,RP,26,276,0.09420289855072464
0.005,1,CP_folded,39,276,0.14130434782608695
0.005,1,Selected_RP_or_CP,39,276,0.14130434782608695
0.005,2,RP,33,276,0.11956521739130435
0.005,2,CP_folded,68,276,0.2463768115942029
0.005,2,Selected_RP_or_CP,68,276,0.2463768115942029
0.005,3,RP,48,276,0.17391304347826086
0.005,3,CP_folded,114,276,0.41304347826086957
0.005,3,Selected_RP_or_CP,114,276,0.41304347826086957
0.005,4,RP,65,276,0.23550724637681159
0.005,4,CP_folded,158,276,0.572463768115942
0.005,4,Selected_RP_or_CP,159,276,0.5760869565217391
0.005,5,RP,79,276,0.286231884057971
0.005,5,CP_folded,174,276,0.6304347826086957
0.005,5,Selected_RP_or_CP,176,276,0.6376811594202898
0.01,1,RP,31,276,0.11231884057971014
0.01,1,CP_folded,47,276,0.17028985507246377
0.01,1,Selected_RP_or_CP,47,276,0.17028985507246377
0.01,2,RP,45,276,0.16304347826086957
0.01,2,CP_folded,95,276,0.3442028985507246
0.01,2,Selected_RP_or_CP,96,276,0.34782608695652173
0.01,3,RP,66,276,0.2391304347826087
0.01,3,CP_folded,148,276,0.5362318840579711
0.01,3,Selected_RP_or_CP,148,276,0.5362318840579711
0.01,4,RP,92,276,0.3333333333333333
0.01,4,CP_folded,182,276,0.6594202898550725
0.01,4,Selected_RP_or_CP,185,276,0.6702898550724637
0.01,5,RP,109,276,0.39492753623188404
0.01,5,CP_folded,199,276,0.7210144927536232
0.01,5,Selected_RP_or_CP,201,276,0.7282608695652174
